program - r_program
lalg - id
; - s_ponto_virgula
{um comentario mal formado
 - erro_comentario_mal_formado
var - r_var
a - id
: - s_dois_pontos
integer - r_integer
; - s_ponto_virgula
var - r_var
b - id
, - s_virgula
c - id
: - s_dois_pontos
integer - r_integer
; - s_ponto_virgula
begin - r_begin
@ - erro_simbolo_nao_reconhecido
# - erro_simbolo_nao_reconhecido
! - erro_simbolo_nao_reconhecido
} - erro_simbolo_nao_reconhecido
$ - erro_simbolo_nao_reconhecido
a - id
:= - s_atribuicao
295723.32957 - num_real
a - id
:= - s_atribuicao
2590375. - erro_numero_real_mal_formado
; - s_ponto_virgula
a - id
:= - s_atribuicao
.59237523 - erro_numero_real_mal_formado
; - s_ponto_virgula
a - id
:= - s_atribuicao
329a2395.32 - erro_numero_real_mal_formado
; - s_ponto_virgula
a - id
:= - s_atribuicao
3205athui3297.asgh39 - erro_numero_real_mal_formado
; - s_ponto_virgula
a - id
:= - s_atribuicao
3523.afuioidiego350 - erro_numero_real_mal_formado
; - s_ponto_virgula
a - id
:= - s_atribuicao
b - id
* - s_multiplicacao
c - id
; - s_ponto_virgula
end - r_end
. - s_ponto
